NSE,date
1528.49,24/12/2005
1528.49,25/12/2005
1500.41,26/12/2005
1524.96,27/12/2005
1529.4,28/12/2005
1543,29/12/2005
1562.85,30/12/2005
1562.85,31/12/2005
1562.85,01/01/2006
1587.3,02/01/2006
1610.61,03/01/2006
1617.32,04/01/2006
1615.68,05/01/2006
1635.77,06/01/2006
1635.77,07/01/2006
1635.77,08/01/2006
1653.75,09/01/2006
1644.48,10/01/2006
1644.48,11/01/2006
1634.75,12/01/2006
1644.1,13/01/2006
1644.1,14/01/2006
1644.1,15/01/2006
1636.24,16/01/2006
1630.5,17/01/2006
1623.72,18/01/2006
1656.9,19/01/2006
1682.8,20/01/2006
1682.8,21/01/2006
1682.8,22/01/2006
1688.42,23/01/2006
1697.41,24/01/2006
1699.75,25/01/2006
1699.75,26/01/2006
1744.94,27/01/2006
1744.94,28/01/2006
1744.94,29/01/2006
1723.57,30/01/2006
1720.15,31/01/2006
1701.94,01/02/2006
1697.62,02/02/2006
1701.29,03/02/2006
1701.29,04/02/2006
1701.29,05/02/2006
1725.06,06/02/2006
1749.1,07/02/2006
1743.2,08/02/2006
1743.2,09/02/2006
1764.92,10/02/2006
1764.92,11/02/2006
1764.92,12/02/2006
1782.35,13/02/2006
1774.68,14/02/2006
1769.54,15/02/2006
1786.47,16/02/2006
1769.6,17/02/2006
1769.6,18/02/2006
1769.6,19/02/2006
1754.33,20/02/2006
1775.03,21/02/2006
1774.96,22/02/2006
1763.61,23/02/2006
1767.04,24/02/2006
1767.04,25/02/2006
1767.04,26/02/2006
1782.12,27/02/2006
1781.31,28/02/2006
1820.15,01/03/2006
1850.04,02/03/2006
1873.53,03/03/2006
1873.53,04/03/2006
1873.53,05/03/2006
1902.63,06/03/2006
1925,07/03/2006
1895.82,08/03/2006
1899.19,09/03/2006
1931.39,10/03/2006
1931.39,11/03/2006
1931.39,12/03/2006
1952.98,13/03/2006
1945.1,14/03/2006
1945.1,15/03/2006
1955.09,16/03/2006
1950.01,17/03/2006
1950.01,18/03/2006
1950.01,19/03/2006
1964.83,20/03/2006
1975.45,21/03/2006
1955.16,22/03/2006
1964.38,23/03/2006
1985.63,24/03/2006
1985.63,25/03/2006
1985.63,26/03/2006
1998.29,27/03/2006
1991.79,28/03/2006
2005.75,29/03/2006
2021.86,30/03/2006
2043.11,31/03/2006
2043.11,01/04/2006
2043.11,02/04/2006
2090.92,03/04/2006
2103.76,04/04/2006
2118.22,05/04/2006
2118.22,06/04/2006
2096.91,07/04/2006
2096.91,08/04/2006
2096.91,09/04/2006
2108.08,10/04/2006
2108.08,11/04/2006
2070.1,12/04/2006
2035.47,13/04/2006
2035.47,14/04/2006
2035.47,15/04/2006
2035.47,16/04/2006
2057.81,17/04/2006
2075.99,18/04/2006
2084.54,19/04/2006
2100.67,20/04/2006
2108.62,21/04/2006
2108.62,22/04/2006
2108.62,23/04/2006
2114.63,24/04/2006
